userNo,registerDays,firstOrderDays,avgReleaseTimeOfLatest30day,avgPayTimeOfLatest30day,finishRateLatest30day,completedOrderNumOfLatest30day,completedBuyOrderNumOfLatest30day,completedSellOrderNumOfLatest30day,completedOrderTotalBtcAmountOfLatest30day,completedOrderNum,completedBuyOrderNum,completedSellOrderNum,completedBuyOrderTotalBtcAmount,completedSellOrderTotalBtcAmount,completedOrderTotalBtcAmount,counterpartyCount
s194809ce7e00350ebf3a6d4c10734195,70,66,0.0,120.0,0.828,48,48,0,0,56,56,0,0,0,0,13
s490ad13282613697869222cea376011e,1090,5,0.0,171.5,0.667,4,4,0,0,4,4,0,0,0,0,4
sb233508e774637d78754554d8b719b87,2646,1425,0.0,87.4,1.0,5,5,0,0,310,251,59,0,0,0,204
s962174bddef334e09710e716ea6a01ac,113,5,0.0,141.0,0.2,1,1,0,0,1,1,0,0,0,0,1
sdb7d0cba7d943424a80acec63195444d,106,99,0.0,243.75,0.8,4,4,0,0,30,30,0,0,0,0,20
sf1020059e86333368fe11ded921d7014,392,392,151.0,0.0,0.5,1,0,1,0,3,1,2,0,0,0,3
s2e2cb7c4165538678c5242cf5fa7e732,55,48,116.0,149.23,0.782,50,48,2,0,53,51,2,0,0,0,16
s9cf8e91a4c2b3b2292bf35f4a4c168e6,95,83,0.0,73.0,0.667,6,6,0,0,33,33,0,0,0,0,4
sde89ec00212c35fdabefa4d993bba0a3,56,5,0.0,103.0,1.0,1,1,0,0,1,1,0,0,0,0,1
s4b818161e83836ea84244f1418ae2226,264,61,1853.22,67.51,0.915,64,37,27,0,103,70,33,0,0,0,30
sdd7f1304cf4f3bd3b75dc9db908c7a0d,1748,1743,820.75,70.2,0.937,44,40,4,0,1031,779,252,0,0,0,494
s2a4be017175530f898695d8abd210b99,60,33,0.0,121.07,0.548,29,29,0,0,33,33,0,0,0,0,7
s4f957e4670573c688d5859934ee7a475,474,274,26.0,44.68,0.968,30,28,2,0,59,54,5,0,0,0,27
s044fc6b844213d8a829c6fad043511aa,403,392,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
sd772300161ad39c1a6fe4cec49af34b8,148,54,0.0,60.63,0.858,24,24,0,0,30,30,0,0,0,0,6
s7ebff9207a23353aa0172ad281614eb4,84,78,0.0,78.0,0.6,3,3,0,0,5,5,0,0,0,0,5
s8a7e16fdddd8311989c6ec4918b5d590,487,87,120.0,79.4,1.0,6,5,1,0,25,21,4,0,0,0,24
saeee9e556795373c859a5f9e9bbc9ebe,77,74,0.0,204.83,0.667,12,12,0,0,25,24,1,0,0,0,7
s1cee9572bb9d3b758e81eac63e64917d,1085,1076,0.0,196.0,1.0,1,1,0,0,9,6,3,0,0,0,9
sf19f4a36d8213b2eb50dc16a71606571,587,471,0.0,465.0,0.25,1,1,0,0,1,1,0,0,0,0,1
sce01d6aa42fc32609f51c610822296e7,872,289,0.0,51.42,0.971,33,33,0,0,269,269,0,0,0,0,51
sdc75ada30a6831f39326725687f72b72,296,148,0.0,53.33,0.989,85,85,0,0,366,365,1,0,0,0,65
s6037ac94a2e23dfe923c9ec261b151c9,466,4,3427.0,127.5,0.375,3,2,1,0,3,2,1,0,0,0,2
s6a2eab2cf93b3c8590fd75b37d62b8e9,1003,1002,0.0,102.17,0.879,29,29,0,0,35,31,4,0,0,0,18
s675060eb9ad736a7ad8a13cd0422ff36,50,46,41.25,87.64,0.667,18,14,4,0,46,39,7,0,0,0,18
sfc44c7061d3f3b39919e23cfe3268b01,158,158,57.51,85.48,0.941,95,58,37,0,294,197,97,0,0,0,148
s79de4201c0033ad2afa7f2f0d5d51100,127,127,80.0,51.91,0.914,74,69,5,0,306,299,7,0,0,0,42
s757a64320761346186a705c347df82d0,530,84,0.0,68.17,0.75,6,6,0,0,9,9,0,0,0,0,2
s9f2dc256b6df3fefb45a4105fb51c1cf,1686,907,0.0,124.11,0.829,63,63,0,0,128,127,1,0,0,0,85
sd4f6feccbe7b34d78ad83ddab2470365,1174,1172,1093.17,135.37,0.858,36,30,6,0,611,485,126,0,0,0,301
sa540d6b282c330b0993040d87bab94d3,1562,4,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
s7b77702a415f3bb69ffabd75421fe03d,370,42,54.6,78.7,0.869,86,81,5,0,99,94,5,0,0,0,49
s6835599a404533c4b4531e9ef9fb0276,258,223,79.0,163.0,1.0,2,1,1,0,7,4,3,0,0,0,7
s79c87d27897f304db54988f23d434284,387,89,0.0,186.0,0.286,2,2,0,0,2,2,0,0,0,0,2
s06d82fe64a2337cdb52f2975cee6e5e9,58,12,0.0,185.89,0.563,9,9,0,0,9,9,0,0,0,0,5
s9e39a231205e324a8110cf3a724d0886,1708,1674,38.2,69.8,0.976,40,30,10,0,201,160,41,0,0,0,123
sfe2af78df3fe3f4c8ace62e491faf07d,303,303,0.0,130.0,0.875,14,14,0,0,52,52,0,0,0,0,20
sd6622e55f8113fdaaf80dd6f8dc294ea,217,153,0.0,316.88,1.0,8,8,0,0,22,21,1,0,0,0,18
sa2814ac1463331fc8997a2475c6dd996,55,55,97.0,67.82,0.974,37,34,3,0,84,73,11,0,0,0,35
se50ec40c1a293f38aee518061ada2a16,227,227,0.0,303.0,1.0,1,1,0,0,3,3,0,0,0,0,3
s79d94e69a51b3834b585b8325deef7bf,1129,307,0.0,187.0,0.5,1,1,0,0,7,7,0,0,0,0,5
s91aa4bf3182f368e81dbfdf510fd7239,362,362,0.0,61.0,0.556,5,5,0,0,88,87,1,0,0,0,44
s4e363a387f3f37c6bbcc6e153379f6a7,54,53,57.6,65.24,0.902,55,45,10,0,112,93,19,0,0,0,42
se886ed12233c32988c4c9b0ca72c2780,365,365,0.0,116.2,0.69,20,20,0,0,52,49,3,0,0,0,11
sb563aff65c2838319d5b08e3d0a60ac1,1682,52,0.0,51.0,0.6,3,3,0,0,9,8,1,0,0,0,7
s5b8d1e9a66f23c0d8d8e47d1051cfa55,1789,1789,0.0,178.0,0.25,1,1,0,0,3,3,0,0,0,0,3
s8122458c9f1a3de69353e5b1b04d2d41,61,61,121.33,72.11,0.847,22,19,3,0,144,125,19,0,0,0,34
s77ef007db2c03619af77ae3434d0001e,465,454,0.0,100.71,0.622,51,51,0,0,60,58,2,0,0,0,30
s9b516d9c398238db925b2e2a441b097f,118,118,0.0,104.14,0.924,36,36,0,0,73,73,0,0,0,0,26
sf276b46323fd32c6b296d09484298f08,377,363,0.0,179.33,0.75,3,3,0,0,53,53,0,0,0,0,37
s4818a27a435930d89a1c155a1254cec1,970,103,180.0,109.67,1.0,13,12,1,0,43,39,4,0,0,0,36
s1d64dcf6f6563f7a86f9d2754b644ecf,1031,191,0.0,222.0,0.2,1,1,0,0,5,5,0,0,0,0,5
s3233ff3a6dfa3d6689f492e223c3484d,302,300,92.29,152.18,0.848,39,22,17,0,51,30,21,0,0,0,35
s67036e249ca33ac79f820cef1cd25e8b,1702,168,0.0,150.5,0.8,4,4,0,0,4,4,0,0,0,0,3
s38d51aa0564f380a927f045965f1601d,1685,1685,0.0,134.0,1.0,9,9,0,0,564,375,189,0,0,0,424
sf913e9be8d8d388eb17c82f1650729b8,59,58,0.0,84.5,0.616,8,8,0,0,8,8,0,0,0,0,6
s87ef9bbcfb223d77913db84324702b64,456,61,0.0,119.0,0.5,1,1,0,0,4,4,0,0,0,0,4
sba2dfebf819a3e18beae4ccb0f54482d,1402,1056,23.31,79.5,0.937,44,28,16,0,352,222,130,0,0,0,238
sb55d239b395733ac9277fc8560a5a4e5,953,577,0.0,100.0,0.5,1,1,0,0,6,6,0,0,0,0,5
s0c0ce791e0e833bb8678f7a1a1ad9945,293,25,0.0,200.5,0.667,4,4,0,0,4,4,0,0,0,0,4
s22b2c67f1ce93643805b4549e0d196ee,500,147,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
s8e68a919587a3c8abd4692e69962f410,881,853,112.42,137.44,0.933,125,113,12,0,338,268,70,0,0,0,179
s257544b97baf3255a1e5ea3addce142d,136,129,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
s38c04b3a72a8365c8b0c6699ab3fa296,67,67,0.0,119.91,0.688,11,11,0,0,15,15,0,0,0,0,8
s82cf0da665113968bc2dfed093dd8c18,265,52,8134.6,64.28,0.948,126,116,10,0,233,213,20,0,0,0,32
s2fb0c0f30a623dfe92180b230fa726c0,58,58,0.0,148.33,0.75,9,9,0,0,17,16,1,0,0,0,8
s157e1d26618e311781ba967b78396642,1662,540,0.0,39.0,1.0,1,1,0,0,126,89,37,0,0,0,108
s24a2ebc87c273658a28512f71b813b41,2151,1140,9283.61,71.02,0.856,77,54,23,0,1087,782,305,0,0,0,422
saf243afd98b437f99e1972267cb1b292,221,221,197.0,154.75,0.715,5,4,1,0,100,99,1,0,0,0,31
sd25bb2626b9933f8913563111f7af39c,147,13,0.0,128.71,0.7,14,14,0,0,14,14,0,0,0,0,10
s15b9b39e69693b53b3bdda756ec2f48a,513,367,0.0,140.33,0.667,12,12,0,0,77,77,0,0,0,0,56
sc9f6c6951ec238e79666e63c7956064e,421,51,0.0,199.0,0.778,7,7,0,0,9,9,0,0,0,0,7
s6c1068efc481389c8bc2150842b4b464,250,249,0.0,96.67,0.75,3,3,0,0,15,15,0,0,0,0,14
sf332b80b90543d80928adec0cf10a3df,1738,252,0.0,117.0,0.945,34,34,0,0,220,220,0,0,0,0,165
sa5d3222f9986387d940863ecbb6d656b,81,56,0.0,274.4,0.625,5,5,0,0,12,12,0,0,0,0,10
s79e40120973e358e84200ba0f1390067,1501,1250,181.5,184.14,0.734,11,7,4,0,56,46,10,0,0,0,49
s1a3c53a38f9136188332ef24da91169d,1375,1202,0.0,77.33,0.858,6,6,0,0,47,47,0,0,0,0,30
s8f1da62eaeb635cbaeaff77f47c9bbf7,386,4,0.0,670.0,0.223,2,2,0,0,2,2,0,0,0,0,2
sfdc662d80e993f86bf30119c13e8e213,192,17,0.0,89.74,0.956,43,43,0,0,43,43,0,0,0,0,10
sf6d76e507f083f2fb365b776710f0700,1222,245,0.0,124.1,0.853,29,29,0,0,169,169,0,0,0,0,112
s024cfa659cea3890b31ded748d7fc62f,128,85,0.0,181.62,1.0,13,13,0,0,30,30,0,0,0,0,11
s856d3fdc6c2d3809b5cd91cf515630eb,156,144,45.0,64.77,0.839,26,22,4,0,89,71,18,0,0,0,34
sc807b10b1ebb36459f0cffa7d4af4ecc,374,374,281.0,68.33,1.0,10,9,1,0,14,12,2,0,0,0,13
s4f920db233053f3a91891d7aceed12e7,890,877,0.0,231.43,0.778,14,14,0,0,360,325,35,0,0,0,210
sdd8b93d6e9793f12b8f3b7a8b771055b,1209,360,0.0,97.25,0.889,8,8,0,0,135,116,19,0,0,0,102
sb538c7b985453c479912fc02ad015feb,1715,1289,120.32,114.38,0.898,79,48,31,0,792,620,172,0,0,0,376
s7f0fc0c666053e8f85eee5588cbe205b,363,54,0.0,107.0,1.0,1,1,0,0,6,5,1,0,0,0,5
s4c890b9d548d3b938ee5e2cc150f743e,1433,63,0.0,109.66,0.865,32,32,0,0,36,36,0,0,0,0,27
s391d5ca5824033dab414adb8325a3889,332,260,117.6,137.67,0.813,26,21,5,0,86,73,13,0,0,0,52
s0698f3d8391231cbb8228f0f118dc430,1659,1107,260.06,168.76,0.853,58,42,16,0,288,196,92,0,0,0,219
s503ae8dddca039548ce641a868a91f78,520,520,286.0,153.93,0.8,16,15,1,0,203,159,44,0,0,0,129
s051a914a94c03bbf8a251f69122f64cd,316,175,0.0,107.5,1.0,2,2,0,0,10,9,1,0,0,0,8
s32317a265972325e9aabb39ad4ce15fd,1738,1651,86.67,42.12,0.924,72,69,3,0,93,90,3,0,0,0,30
sc103fa06bb2533ebb74a6ee62b6025f9,308,307,64.33,122.16,0.584,28,25,3,0,34,30,4,0,0,0,19
s09831bc1da5532d9be677aac3027b42f,475,73,57.0,139.0,1.0,5,4,1,0,13,12,1,0,0,0,11
s3aeb29eda25a39bea0c17a4d3bc4e9b4,956,956,0.0,122.58,0.897,26,26,0,0,137,137,0,0,0,0,81
s7a596c64d9cf32afa09c10c3fbbe6f94,467,391,0.0,68.43,0.875,7,7,0,0,90,78,12,0,0,0,59
s9d108669ddc23d4a9ede2ea3e0ede052,218,218,0.0,357.5,0.4,2,2,0,0,9,8,1,0,0,0,9
sd82c11a0446b39d6996ed3fd31e606a8,311,42,0.0,813.0,0.167,1,1,0,0,1,1,0,0,0,0,1
